"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Arwen, Mortal Queen","WG","M","1457","1.76","763","1.65","3387","57.1%","631","68.0%","847","66.9%","1478","67.4%","1872","48.5%","18.9pp"
"Faramir, Prince of Ithilien","WU","R","3339","2.18","1839","2.03","8747","56.0%","1456","66.0%","2553","64.8%","4009","65.3%","4647","47.7%","17.6pp"
"Andúril, Flame of the West","","M","963","1.07","949","1.06","6003","60.9%","1031","70.6%","1624","70.6%","2655","70.6%","3341","53.1%","17.5pp"
"Orcish Bowmasters","B","R","2497","1.45","2014","1.44","11676","62.5%","2070","74.0%","3032","69.8%","5102","71.5%","6527","55.4%","16.1pp"
"Witch-king of Angmar","B","M","1093","1.21","946","1.20","5606","60.4%","978","70.3%","1554","67.1%","2532","68.3%","3049","53.0%","15.3pp"
"Horn of Gondor","","R","2359","1.31","1949","1.29","11668","61.2%","2164","68.7%","2951","68.5%","5115","68.6%","6560","55.5%","13.1pp"
"Rangers of Ithilien","U","R","3160","1.85","1790","1.79","9004","56.8%","1567","60.9%","2762","64.9%","4329","63.5%","4638","50.8%","12.7pp"
"Aragorn, the Uniter","WURG","M","2112","2.43","611","2.53","1884","50.8%","321","62.6%","526","55.1%","847","58.0%","1027","45.4%","12.6pp"
"Palantír of Orthanc","","M","1189","1.43","857","1.40","4970","58.6%","894","70.9%","1365","61.0%","2259","64.9%","2698","53.4%","11.5pp"
"Saruman's Trickery","U","U","21714","4.13","5975","4.86","27383","57.0%","4569","61.3%","8666","63.5%","13235","62.7%","14210","51.9%","10.8pp"
"Éowyn, Fearless Knight","WR","R","3771","2.32","1880","2.27","8750","58.6%","1463","64.1%","2059","65.1%","3522","64.7%","5145","54.1%","10.5pp"
"Frodo Baggins","WG","U","19824","3.92","4057","4.74","15551","54.3%","2662","62.8%","4026","58.3%","6688","60.1%","8713","49.7%","10.4pp"
"Sauron, the Dark Lord","UBR","M","1256","1.47","886","1.41","4492","56.1%","760","60.1%","1284","62.5%","2044","61.6%","2378","51.2%","10.4pp"
"Scroll of Isildur","U","R","5127","2.91","1632","3.22","6967","54.8%","1207","56.3%","2149","62.1%","3356","60.0%","3582","50.0%","10.0pp"
"Radagast the Brown","G","M","1510","1.68","743","1.67","3130","57.0%","553","62.6%","877","61.9%","1430","62.2%","1699","52.6%","9.5pp"
"Pippin, Guard of the Citadel","WU","R","4926","3.03","1489","3.20","4371","52.5%","765","57.9%","1249","57.0%","2014","57.3%","2301","48.0%","9.4pp"
"Prince Imrahil the Fair","WU","U","23151","4.72","4259","6.01","11815","51.8%","2080","56.2%","3561","56.6%","5641","56.5%","6058","47.3%","9.2pp"
"Elrond, Master of Healing","UG","R","4200","2.64","1281","2.58","4492","49.5%","741","54.9%","1340","54.3%","2081","54.5%","2379","45.4%","9.1pp"
"Delighted Halfling","G","R","3755","2.10","1361","2.11","5833","53.1%","1027","63.9%","1462","54.3%","2489","58.3%","3324","49.2%","9.0pp"
"Flame of Anor","UR","R","5350","3.15","1927","3.23","7287","54.6%","1233","57.2%","2525","60.0%","3758","59.1%","3774","50.6%","8.5pp"
"Bilbo, Retired Burglar","UR","U","21417","4.34","5732","5.01","22184","56.9%","3848","61.7%","6619","61.2%","10467","61.4%","11649","52.9%","8.5pp"
"Horses of the Bruinen","U","U","25967","4.91","5382","6.29","20846","55.4%","3278","55.1%","6667","62.3%","9945","59.9%","10979","51.5%","8.4pp"
"Arwen Undómiel","UG","U","20761","4.28","3582","5.35","12163","51.1%","2168","57.2%","3477","54.3%","5645","55.4%","6435","47.2%","8.2pp"
"The Mouth of Sauron","UB","U","19754","3.78","6142","4.42","25776","55.9%","4046","56.1%","7803","62.2%","11849","60.1%","13650","52.1%","8.0pp"
"Old Man Willow","BG","U","18937","3.71","4895","4.37","18734","54.5%","3119","56.0%","4915","60.8%","8034","58.9%","10660","51.1%","7.9pp"
"Fear, Fire, Foes!","R","U","13974","2.65","7153","2.86","41348","60.1%","7153","63.1%","10922","65.4%","18075","64.5%","23423","56.8%","7.7pp"
"Éomer of the Riddermark","R","U","15702","2.94","5781","3.34","32167","60.5%","5210","64.2%","7912","65.5%","13122","65.0%","18987","57.3%","7.7pp"
"Dreadful as the Storm","U","C","93600","8.20","11321","11.66","8024","52.2%","1251","53.2%","2387","57.9%","3638","56.3%","4366","48.7%","7.6pp"
"Call of the Ring","B","R","2599","1.59","1901","1.57","10498","58.2%","1827","66.2%","2718","59.8%","4545","62.4%","5924","54.9%","7.5pp"
"Nazgûl","B","U","12200","2.38","6155","2.58","34871","60.0%","6217","64.1%","9474","64.2%","15691","64.2%","19177","56.7%","7.5pp"
"Gandalf's Sanction","UR","U","24050","4.81","6673","5.46","27312","56.6%","4555","53.7%","9528","63.4%","14083","60.3%","13619","52.9%","7.4pp"
"The Bath Song","U","U","22631","4.38","5555","5.30","22786","55.0%","3745","55.8%","6990","60.8%","10735","59.0%","11963","51.6%","7.4pp"
"Spiteful Banditry","R","M","1368","1.72","883","1.66","4376","57.3%","736","57.9%","1172","63.3%","1908","61.2%","2460","54.4%","6.8pp"
"Galadriel of Lothlórien","UG","R","4478","2.75","1298","2.73","4475","49.5%","778","52.1%","1348","53.6%","2126","53.0%","2319","46.3%","6.7pp"
"Denethor, Ruling Steward","WB","U","18103","3.51","5701","3.97","25304","56.5%","4276","57.4%","6736","62.1%","11012","60.3%","14270","53.6%","6.7pp"
"Frodo, Sauron's Bane","W","R","3613","2.15","1460","2.26","6807","56.4%","1225","64.4%","1775","57.2%","3000","60.2%","3782","53.5%","6.7pp"
"Birthday Escape","U","C","72518","5.10","15396","6.57","69025","55.7%","12402","56.7%","21833","60.4%","34235","59.1%","34954","52.4%","6.7pp"
"Shadow Summoning","WB","U","23598","4.56","6576","5.27","26344","58.4%","4538","63.0%","6766","61.6%","11304","62.2%","15030","55.7%","6.5pp"
"Glorious Gale","U","C","74759","5.28","14904","6.89","65167","55.6%","11447","57.5%","19722","59.8%","31169","58.9%","33894","52.5%","6.4pp"
"War of the Last Alliance","W","R","4761","2.79","1309","3.08","4914","55.5%","789","58.9%","1235","59.4%","2024","59.2%","2884","52.9%","6.4pp"
"Claim the Precious","B","C","36578","2.56","17114","2.87","98616","59.3%","16560","60.2%","26776","64.5%","43336","62.9%","55504","56.6%","6.2pp"
"Aragorn, Company Leader","WG","R","3732","2.28","1332","2.24","5230","51.3%","940","54.1%","1297","55.3%","2237","54.8%","2963","48.6%","6.2pp"
"Voracious Fell Beast","B","U","14415","2.72","6530","3.00","36728","60.1%","5823","59.9%","9802","66.0%","15625","63.7%","21012","57.5%","6.2pp"
"Samwise Gamgee","WG","R","4547","2.68","1250","2.78","5080","52.9%","893","57.4%","1307","55.5%","2200","56.3%","2826","50.1%","6.2pp"
"Fall of Gil-galad","G","R","3832","2.21","1270","2.34","5798","53.0%","1012","54.2%","1473","57.8%","2485","56.3%","3296","50.3%","6.0pp"
"Doors of Durin","RG","R","5409","3.39","1239","3.86","3645","52.3%","598","55.5%","874","56.1%","1472","55.8%","2167","49.8%","6.0pp"
"Bitter Downfall","B","U","12321","2.36","6408","2.57","36471","58.5%","6043","59.0%","9950","63.6%","15993","61.9%","20603","55.9%","5.9pp"
"Shelob, Child of Ungoliant","BG","R","3189","1.94","1658","1.88","7467","54.1%","1197","53.9%","2018","59.1%","3215","57.2%","4221","51.4%","5.8pp"
"Gothmog, Morgul Lieutenant","B","U","13283","2.54","5504","2.86","30883","58.4%","5259","60.5%","8199","62.4%","13458","61.7%","17383","55.9%","5.8pp"
"Meriadoc Brandybuck","G","U","21267","4.07","3650","5.26","14931","52.4%","2727","56.2%","3607","55.3%","6334","55.7%","8523","50.0%","5.7pp"
"Gollum's Bite","B","U","14388","2.69","6673","3.01","37658","59.4%","6664","61.7%","9947","63.1%","16611","62.5%","21044","56.8%","5.7pp"
"Sauron's Ransom","UB","R","6695","3.74","1835","4.39","5676","55.1%","950","54.9%","1746","59.9%","2696","58.1%","3022","52.4%","5.7pp"
"Soothing of Sméagol","U","C","80206","5.80","14155","7.77","54987","54.7%","9440","53.4%","17221","59.8%","26661","57.6%","28329","51.9%","5.6pp"
"Boromir, Warden of the Tower","W","R","3313","1.88","1545","1.95","7811","57.2%","1387","60.3%","1948","60.1%","3335","60.2%","4403","54.6%","5.6pp"
"Bill the Pony","W","U","18708","3.51","5238","4.19","23817","55.2%","3911","56.3%","6343","59.4%","10254","58.2%","13410","52.7%","5.5pp"
"There and Back Again","R","R","2984","1.72","1859","1.68","10047","57.8%","1692","61.4%","2593","60.6%","4285","60.9%","5733","55.5%","5.5pp"
"Press the Enemy","U","R","7084","3.94","1209","5.08","3392","49.7%","539","47.9%","1026","54.7%","1565","52.3%","1836","47.0%","5.3pp"
"Grishnákh, Brash Instigator","R","U","15725","2.92","6429","3.25","35789","60.0%","6238","62.5%","8926","63.3%","15164","63.0%","20514","57.7%","5.3pp"
"Gandalf, Friend of the Shire","U","U","14354","2.78","5101","3.12","24522","54.2%","4099","54.5%","7580","58.2%","11679","56.9%","12755","51.7%","5.1pp"
"Dunland Crebain","B","C","52887","3.44","19652","4.11","113945","59.8%","20295","62.3%","29666","62.9%","49961","62.7%","63717","57.5%","5.1pp"
"Gimli, Mournful Avenger","RG","R","6917","3.94","1080","5.39","2203","49.1%","366","52.5%","521","51.8%","887","52.1%","1303","47.0%","5.1pp"
"King of the Oathbreakers","WB","R","3613","2.16","1815","2.09","7985","55.2%","1303","56.9%","2055","58.7%","3358","58.0%","4543","52.9%","5.1pp"
"Théoden, King of Rohan","WR","U","20683","4.16","5144","4.80","21025","57.7%","3696","61.9%","4918","59.6%","8614","60.6%","12280","55.5%","5.1pp"
"Samwise the Stouthearted","W","U","14288","2.66","5058","3.09","25673","55.1%","4494","57.9%","6559","57.8%","11053","57.9%","14432","52.8%","5.1pp"
"Flowering of the White Tree","W","R","2998","1.72","1704","1.68","8609","56.3%","1452","59.4%","2204","59.1%","3656","59.2%","4950","54.2%","5.0pp"
"Deceive the Messenger","U","C","89032","7.04","14718","9.52","37526","55.4%","6304","55.9%","11279","59.2%","17583","58.0%","19819","53.0%","5.0pp"
"Isolation at Orthanc","U","C","86697","6.65","16178","8.72","54669","55.3%","8900","53.7%","17041","60.1%","25941","57.9%","28673","53.0%","4.9pp"
"Celeborn the Wise","G","U","20640","3.94","2868","5.20","10562","50.6%","1694","52.7%","2805","53.7%","4499","53.3%","6004","48.4%","4.8pp"
"The Balrog, Durin's Bane","BR","R","3615","2.14","1779","2.15","8451","56.6%","1259","59.3%","2188","59.6%","3447","59.5%","5003","54.7%","4.8pp"
"Hithlain Knots","U","C","83151","6.25","12273","8.75","38423","52.9%","6661","51.1%","11601","58.0%","18262","55.5%","20027","50.6%","4.8pp"
"Goldberry, River-Daughter","U","R","7366","3.80","1467","4.82","4108","51.1%","686","53.5%","1219","53.7%","1905","53.6%","2201","48.9%","4.8pp"
"The Shire","","R","5926","3.19","1218","3.85","4889","52.8%","865","56.9%","1170","54.6%","2035","55.6%","2846","50.8%","4.7pp"
"Gandalf the Grey","UR","R","3875","2.38","1679","2.36","7099","53.4%","1223","52.7%","2400","57.5%","3623","55.9%","3670","51.2%","4.6pp"
"Sméagol, Helpful Guide","BG","R","3933","2.31","1439","2.33","5648","52.4%","950","54.2%","1450","55.7%","2400","55.1%","3236","50.5%","4.6pp"
"Saruman the White","U","U","17084","3.37","4679","3.92","21030","53.0%","3462","53.7%","6381","56.3%","9843","55.4%","11076","50.8%","4.6pp"
"Foray of Orcs","R","U","15847","2.94","7081","3.24","39254","59.1%","6743","60.9%","10470","62.1%","17213","61.7%","22211","57.1%","4.5pp"
"Lórien Revealed","U","C","79504","5.73","15136","7.62","61520","54.9%","10832","53.9%","19289","59.2%","30121","57.3%","32101","52.8%","4.5pp"
"Gollum, Patient Plotter","B","U","13933","2.60","6269","2.93","35702","59.4%","6567","62.5%","9260","61.5%","15827","61.9%","19843","57.5%","4.5pp"
"Sauron, the Necromancer","B","R","2497","1.47","1730","1.44","9147","55.9%","1482","56.5%","2461","59.5%","3943","58.4%","5203","54.0%","4.4pp"
"Elrond, Lord of Rivendell","U","U","16534","3.27","3943","3.88","17977","52.7%","3154","53.5%","5258","55.8%","8412","54.9%","9458","50.6%","4.3pp"
"Ranger's Firebrand","R","U","15119","2.81","6262","3.20","35322","59.5%","6110","60.5%","9257","62.8%","15367","61.9%","20002","57.6%","4.2pp"
"Ent's Fury","G","C","74129","5.35","10546","7.29","42098","53.1%","6604","51.3%","10979","58.1%","17583","55.5%","24353","51.3%","4.2pp"
"Pelargir Survivor","U","C","87228","6.78","14340","9.09","50267","55.7%","8905","57.8%","15043","57.9%","23948","57.9%","26270","53.7%","4.1pp"
"Ringsight","UB","U","32634","6.82","4494","9.88","3871","50.7%","607","46.3%","1220","56.1%","1827","52.8%","2050","48.7%","4.1pp"
"Rally at the Hornburg","R","C","71079","4.95","20832","5.99","111922","60.4%","20038","63.2%","27969","62.4%","48007","62.7%","63823","58.6%","4.1pp"
"Enraged Huorn","G","C","85639","6.59","9494","9.64","26414","53.0%","4106","53.6%","6822","56.2%","10928","55.2%","15360","51.2%","4.1pp"
"Rosie Cotton of South Lane","W","U","14868","2.80","4587","3.26","23487","56.3%","3985","57.0%","5850","59.6%","9835","58.5%","13485","54.5%","4.0pp"
"Meneldor, Swift Savior","U","U","18018","3.47","4160","4.19","17206","51.8%","2858","49.9%","5084","56.1%","7942","53.9%","9191","49.9%","4.0pp"
"Rise of the Witch-king","BG","U","24604","4.87","4322","6.50","12005","53.8%","1964","52.9%","3090","58.2%","5054","56.1%","6944","52.2%","3.9pp"
"The Torment of Gollum","B","C","79132","5.66","19200","7.12","86638","60.1%","14125","62.3%","23389","62.4%","37514","62.3%","49138","58.4%","3.9pp"
"Legolas, Master Archer","G","R","3535","2.08","1214","2.12","5342","50.4%","929","52.7%","1346","52.2%","2275","52.4%","3065","48.5%","3.8pp"
"Wose Pathfinder","G","C","69143","4.85","9633","6.57","42452","53.0%","7858","56.6%","10037","53.9%","17895","55.1%","24425","51.4%","3.7pp"
"Generous Ent","G","C","77588","5.50","10578","7.74","42708","53.4%","7477","53.1%","10808","57.1%","18285","55.4%","24213","51.7%","3.7pp"
"Gwaihir the Windlord","WU","U","26910","5.43","3599","7.87","6823","49.2%","1046","48.1%","2137","52.4%","3183","51.0%","3579","47.3%","3.7pp"
"Ithilien Kingfisher","U","C","72277","5.01","12633","6.78","51082","52.0%","8994","50.7%","14994","55.8%","23988","53.9%","26725","50.3%","3.7pp"
"The One Ring","","M","1263","1.50","654","1.48","3066","53.6%","535","54.2%","776","56.7%","1311","55.7%","1749","52.1%","3.6pp"
"Shadowfax, Lord of Horses","WR","U","23856","4.69","4749","6.05","15981","57.5%","2558","59.1%","3742","59.9%","6300","59.6%","9565","56.0%","3.6pp"
"Bag End Porter","G","C","86171","6.72","8929","9.82","19412","53.1%","3153","53.1%","4898","56.4%","8051","55.1%","11307","51.5%","3.6pp"
"Willow-Wind","U","C","87092","6.78","10817","9.81","24023","51.2%","3815","49.7%","7108","54.8%","10923","53.0%","12893","49.5%","3.5pp"
"Arwen's Gift","U","C","82168","6.10","12509","8.59","37433","52.7%","6146","50.9%","11558","56.6%","17704","54.6%","19839","51.2%","3.5pp"
"Saruman of Many Colors","WUB","M","1784","2.12","687","2.08","2227","47.7%","354","44.9%","668","51.8%","1022","49.4%","1167","45.9%","3.5pp"
"Eastfarthing Farmer","W","C","79604","5.79","10900","8.28","35750","54.4%","6093","55.3%","8874","57.1%","14967","56.4%","20692","52.9%","3.4pp"
"Quickbeam, Upstart Ent","G","U","20169","3.84","3756","4.81","15837","52.3%","2433","50.3%","3966","56.4%","6399","54.1%","9330","50.7%","3.4pp"
"Errand-Rider of Gondor","W","C","63051","4.18","14855","5.39","74930","56.6%","13211","57.6%","18986","59.0%","32197","58.4%","42595","55.1%","3.3pp"
"Fiery Inscription","R","U","22400","4.48","5196","5.34","21519","56.3%","3737","55.8%","6163","59.2%","9900","57.9%","11448","54.7%","3.2pp"
"Many Partings","G","C","84821","6.56","9753","9.40","28178","52.4%","5126","54.4%","6859","54.0%","11985","54.2%","16137","51.1%","3.1pp"
"Inherited Envelope","","C","89108","6.82","9601","10.29","12829","50.9%","2269","49.5%","3299","54.7%","5568","52.6%","7231","49.5%","3.1pp"
"Éowyn, Lady of Rohan","W","U","15910","3.02","4240","3.65","21179","55.2%","3719","56.4%","5275","57.2%","8994","56.8%","12105","53.8%","3.1pp"
"Reprieve","W","U","21815","4.06","5523","5.00","23872","55.8%","4240","57.8%","6116","57.3%","10356","57.5%","13503","54.4%","3.1pp"
"Mauhúr, Uruk-hai Captain","BR","U","18163","3.58","5521","4.11","26933","59.4%","4656","63.6%","6565","59.5%","11221","61.2%","15735","58.2%","3.0pp"
"Merry, Esquire of Rohan","WR","R","5948","3.46","1398","4.15","4853","55.5%","880","61.4%","1015","53.6%","1895","57.2%","2934","54.2%","3.0pp"
"Shelob's Ambush","B","C","86504","6.40","16049","8.66","54897","59.5%","8721","59.6%","13816","62.2%","22537","61.2%","32341","58.2%","3.0pp"
"Rivendell","","R","5996","3.18","1359","3.90","5813","52.5%","1063","53.8%","1643","54.2%","2706","54.0%","3075","51.2%","2.9pp"
"Lembas","","C","88343","6.48","10918","9.56","20335","52.1%","3742","50.3%","6647","55.8%","10389","53.8%","11067","50.9%","2.9pp"
