"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Orcish Bowmasters","B","R","632","1.57","484","1.54","2483","61.7%","438","74.0%","615","68.6%","1053","70.8%","1424","54.8%","16.1pp"
"Andúril, Flame of the West","","M","245","1.07","240","1.07","1329","59.7%","213","69.0%","360","71.1%","573","70.3%","753","51.5%","18.8pp"
"Witch-king of Angmar","B","M","284","1.19","237","1.19","1336","61.9%","209","73.2%","349","68.2%","558","70.1%","760","55.0%","15.1pp"
"Horn of Gondor","","R","581","1.37","448","1.31","2468","62.4%","479","71.2%","605","68.9%","1084","69.9%","1385","56.6%","13.3pp"
"Éowyn, Fearless Knight","WR","R","922","2.25","435","2.16","1870","59.5%","304","63.5%","419","67.5%","723","65.8%","1134","54.9%","10.9pp"
"Radagast the Brown","G","M","350","1.48","182","1.45","726","","130","","196","","326","65.6%","405","52.1%","13.5pp"
"Faramir, Prince of Ithilien","WU","R","851","2.30","447","2.10","1925","56.5%","340","68.2%","566","64.0%","906","65.6%","1004","47.8%","17.8pp"
"Voracious Fell Beast","B","U","3856","2.99","1410","3.44","7100","61.2%","1089","61.2%","1892","67.3%","2981","65.0%","4088","58.3%","6.7pp"
"Arwen, Mortal Queen","WG","M","330","1.60","191","1.43","786","","144","","168","","312","64.4%","464","48.5%","15.9pp"
"Fear, Fire, Foes!","R","U","4051","2.99","1763","3.32","9184","60.2%","1617","62.8%","2452","65.2%","4069","64.2%","5146","57.0%","7.2pp"
"Éomer of the Riddermark","R","U","4255","3.17","1250","3.70","5857","59.5%","953","61.4%","1395","65.7%","2348","64.0%","3508","56.4%","7.6pp"
"Grishnákh, Brash Instigator","R","U","4128","3.15","1510","3.47","7587","60.2%","1305","63.5%","1847","64.0%","3152","63.8%","4408","57.6%","6.2pp"
"Call of the Ring","B","R","625","1.62","422","1.58","2106","58.4%","368","70.4%","505","58.6%","873","63.6%","1222","54.6%","9.0pp"
"Shadow Summoning","WB","U","6031","4.73","1670","5.51","6271","60.1%","1048","65.6%","1613","62.1%","2661","63.5%","3606","57.6%","5.9pp"
"Foray of Orcs","R","U","4387","3.16","1800","3.44","9011","60.1%","1533","63.3%","2395","63.5%","3928","63.5%","5125","57.6%","5.8pp"
"Nazgûl","B","U","3386","2.60","1415","2.89","6974","59.0%","1272","63.2%","1879","63.3%","3151","63.3%","3830","55.5%","7.8pp"
"Claim the Precious","B","C","9956","2.75","4204","3.13","21953","59.8%","3661","60.8%","5951","64.8%","9612","63.3%","12406","57.2%","6.1pp"
"Sauron, the Dark Lord","UBR","M","321","1.40","240","1.35","1076","57.2%","177","","311","63.7%","488","63.1%","579","52.0%","11.1pp"
"Rally at the Hornburg","R","C","19207","5.52","4809","6.84","21967","60.8%","3937","64.3%","5342","62.2%","9279","63.1%","12668","59.2%","3.9pp"
"Gollum's Bite","B","U","3841","2.82","1625","3.14","8229","59.8%","1401","61.6%","2219","64.0%","3620","63.1%","4616","57.2%","5.8pp"
"Rangers of Ithilien","U","R","776","1.89","442","1.78","1986","55.4%","339","58.1%","592","65.9%","931","63.1%","1043","48.8%","14.2pp"
"Dunland Crebain","B","C","14346","3.71","4821","4.47","25566","60.1%","4607","62.2%","6512","63.3%","11119","62.8%","14391","58.1%","4.7pp"
"Théoden, King of Rohan","WR","U","5249","4.23","1221","4.93","4729","59.0%","827","64.2%","1076","61.7%","1903","62.8%","2798","56.3%","6.5pp"
"The Torment of Gollum","B","C","20694","6.17","4111","8.11","14194","60.5%","2277","62.6%","3795","62.5%","6072","62.5%","8109","59.0%","3.6pp"
"There and Back Again","R","R","776","1.78","450","1.73","2145","58.0%","371","62.3%","501","62.3%","872","62.3%","1265","55.2%","7.1pp"
"Gollum, Patient Plotter","B","U","3657","2.70","1506","3.08","7899","60.5%","1457","63.0%","2068","61.6%","3525","62.2%","4361","59.0%","3.2pp"
"Denethor, Ruling Steward","WB","U","4698","3.59","1429","4.19","5740","57.4%","986","60.5%","1508","62.9%","2494","61.9%","3251","54.0%","8.0pp"
