"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Banish from Edoras","W","C","120902","5.15","16367","7.51","58451","53.5%","9271","50.9%","15833","56.8%","25104","54.6%","33412","52.8%","1.8pp"
"The Battle of Bywater","W","R","7279","2.56","2310","2.76","9796","54.7%","1749","55.5%","2547","57.5%","4296","56.7%","5501","53.2%","3.4pp"
"Bill the Pony","W","U","30654","3.49","8343","4.21","38395","55.3%","6319","56.5%","10220","58.6%","16539","57.8%","21621","53.2%","4.5pp"
"Boromir, Warden of the Tower","W","R","5441","1.90","2505","1.99","12741","57.1%","2279","61.4%","3193","59.7%","5472","60.4%","7153","54.2%","6.2pp"
"Dawn of a New Age","W","M","2736","1.89","1248","1.89","5983","53.9%","972","54.8%","1531","56.0%","2503","55.5%","3470","52.9%","2.7pp"
"Dúnedain Blade","W","C","147899","7.46","17791","10.72","29932","55.2%","4789","53.6%","7178","53.1%","11967","53.3%","17967","56.4%","-3.1pp"
"Eagles of the North","W","C","126331","5.32","20930","7.50","88132","55.1%","15419","53.6%","22288","56.6%","37707","55.4%","50278","54.8%","0.6pp"
"Eastfarthing Farmer","W","C","131484","5.89","17542","8.48","56085","54.5%","9515","54.9%","13983","57.5%","23498","56.4%","32460","53.1%","3.4pp"
"East-Mark Cavalier","W","C","135252","6.08","19243","8.64","68242","55.2%","12163","55.6%","16250","54.8%","28413","55.1%","39787","55.2%","-0.0pp"
"Éowyn, Lady of Rohan","W","U","26310","3.04","6660","3.71","33826","55.2%","5901","56.2%","8398","57.3%","14299","56.8%","19407","53.8%","3.0pp"
"Errand-Rider of Gondor","W","C","101105","4.12","23812","5.32","121533","56.2%","21284","57.1%","31051","58.5%","52335","57.9%","68986","54.9%","3.1pp"
"Escape from Orthanc","W","C","151947","7.83","20366","10.99","29265","55.1%","4442","53.7%","7069","56.1%","11511","55.2%","17743","55.0%","0.2pp"
"Esquire of the King","W","C","143289","6.89","19161","9.81","50278","55.0%","8677","56.0%","12124","53.6%","20801","54.6%","29430","55.2%","-0.6pp"
"Faramir, Field Commander","W","U","22255","2.63","6708","3.08","34277","53.8%","5815","52.2%","9083","55.7%","14898","54.4%","19222","53.1%","1.3pp"
"Flowering of the White Tree","W","R","4881","1.76","2660","1.73","13714","56.0%","2340","60.7%","3523","58.6%","5863","59.5%","7847","53.3%","6.2pp"
"Fog on the Barrow-Downs","W","C","118510","5.12","14358","7.49","50668","53.0%","8350","49.6%","12618","54.6%","20968","52.7%","29616","53.3%","-0.7pp"
"Forge Anew","W","R","16819","5.58","2037","8.61","196","","32","","57","","89","","107","",""
"Frodo, Sauron's Bane","W","R","6107","2.20","2381","2.30","11264","56.0%","2030","64.2%","2913","56.6%","4943","59.7%","6282","53.1%","6.6pp"
"Gandalf the White","W","M","2096","1.52","1155","1.49","5353","53.0%","867","51.7%","1415","54.0%","2282","53.1%","3017","52.5%","0.6pp"
"Hobbit's Sting","W","C","116514","4.99","18864","6.86","79705","54.7%","12748","53.5%","20056","56.8%","32804","55.5%","46844","54.1%","1.5pp"
"Landroval, Horizon Witness","W","U","31288","3.62","6386","4.60","28679","54.2%","4395","52.8%","7372","57.1%","11767","55.5%","16716","53.1%","2.4pp"
"Lost to Legend","W","U","45289","5.40","8386","7.08","28863","54.8%","4689","52.7%","7598","57.0%","12287","55.4%","16595","54.4%","1.0pp"
"Nimble Hobbit","W","C","149226","7.57","17466","10.92","23298","52.3%","4094","50.8%","5797","53.2%","9891","52.2%","13398","52.4%","-0.2pp"
"Now for Wrath, Now for Ruin!","W","C","148417","7.41","15869","10.99","19046","53.3%","2703","49.5%","4693","53.5%","7396","52.0%","11647","54.2%","-2.1pp"
"Protector of Gondor","W","C","125799","5.42","22914","7.29","100312","56.6%","16308","57.3%","25404","58.8%","41712","58.2%","58468","55.5%","2.7pp"
"Reprieve","W","U","36335","4.13","8663","5.18","37603","56.1%","6612","57.7%","9682","57.8%","16294","57.7%","21302","54.8%","2.9pp"
"Rosie Cotton of South Lane","W","U","24176","2.80","7364","3.25","37673","55.8%","6532","56.3%","9452","59.0%","15984","57.9%","21412","54.1%","3.8pp"
"Samwise the Stouthearted","W","U","23250","2.65","8129","3.08","42104","55.3%","7468","57.1%","10716","58.1%","18184","57.7%","23559","53.3%","4.4pp"
"Second Breakfast","W","C","150922","7.73","16669","11.33","15281","52.3%","2339","50.2%","3615","53.3%","5954","52.1%","9322","52.5%","-0.4pp"
"Shire Shirriff","W","U","28943","3.29","7766","4.01","38081","55.5%","6678","54.6%","9523","57.6%","16201","56.4%","21850","54.8%","1.6pp"
"Slip On the Ring","W","C","146607","7.13","16947","10.45","25075","52.2%","3968","49.9%","6367","53.8%","10335","52.3%","14717","52.0%","0.3pp"
"Soldier of the Grey Host","W","C","146929","7.12","15661","10.62","19926","52.4%","3163","52.2%","4927","54.3%","8090","53.5%","11811","51.6%","1.9pp"
"Stalwarts of Osgiliath","W","C","141151","6.56","17434","9.57","39856","54.3%","6140","53.1%","10704","57.0%","16844","55.6%","23018","53.4%","2.2pp"
"Tale of Tinúviel","W","U","41431","5.02","5551","7.09","14084","51.9%","2109","48.3%","3692","53.8%","5801","51.8%","8267","51.8%","-0.0pp"
