"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Orcish Bowmasters","B","R","1679","1.48","1321","1.46","7403","62.0%","1300","73.8%","1871","69.3%","3171","71.2%","4205","55.1%","16.1pp"
"Andúril, Flame of the West","","M","626","1.06","614","1.06","3786","60.7%","671","71.5%","1048","69.9%","1719","70.6%","2061","52.4%","18.2pp"
"Horn of Gondor","","R","1549","1.33","1244","1.30","7317","60.9%","1363","68.7%","1815","68.7%","3178","68.7%","4140","55.1%","13.6pp"
"Arwen, Mortal Queen","WG","M","957","1.70","508","1.56","2261","57.8%","420","69.5%","565","66.4%","985","67.7%","1250","49.5%","18.2pp"
"Witch-king of Angmar","B","M","699","1.23","587","1.21","3469","60.6%","605","70.2%","940","65.3%","1545","67.2%","1903","54.1%","13.1pp"
"Faramir, Prince of Ithilien","WU","R","2189","2.20","1189","2.05","5568","56.6%","933","66.3%","1658","64.9%","2591","65.4%","2929","48.5%","16.9pp"
"Éomer of the Riddermark","R","U","10683","3.02","3675","3.46","19812","60.4%","3220","63.0%","4790","65.8%","8010","64.7%","11776","57.5%","7.2pp"
"Palantír of Orthanc","","M","785","1.44","517","1.41","2887","58.3%","517","71.2%","809","60.3%","1326","64.6%","1557","52.9%","11.6pp"
"Fear, Fire, Foes!","R","U","9705","2.74","4718","2.99","26551","60.5%","4630","62.9%","7018","65.5%","11648","64.5%","14993","57.4%","7.1pp"
"Nazgûl","B","U","8310","2.47","3940","2.71","21804","60.2%","3843","64.9%","5881","64.1%","9724","64.4%","12081","56.8%","7.6pp"
"Éowyn, Fearless Knight","WR","R","2429","2.30","1211","2.27","5540","58.7%","911","64.2%","1290","64.0%","2201","64.1%","3299","54.8%","9.3pp"
"Voracious Fell Beast","B","U","9722","2.79","4209","3.09","23285","60.2%","3678","59.7%","6148","65.9%","9826","63.6%","13391","57.6%","5.9pp"
"Radagast the Brown","G","M","962","1.63","496","1.61","2058","57.0%","363","63.1%","561","63.6%","924","63.4%","1135","51.7%","11.7pp"
"Grishnákh, Brash Instigator","R","U","10585","3.01","4259","3.33","23294","60.3%","4068","62.6%","5753","63.9%","9821","63.4%","13400","57.9%","5.4pp"
"Claim the Precious","B","C","24796","2.63","11237","2.97","63709","59.7%","10718","60.6%","17232","64.8%","27950","63.2%","35917","57.0%","6.2pp"
"Rangers of Ithilien","U","R","2081","1.87","1163","1.79","5627","56.2%","947","60.6%","1724","64.3%","2671","63.0%","2944","50.2%","12.8pp"
"Gollum's Bite","B","U","9730","2.74","4377","3.08","24259","59.7%","4283","62.2%","6383","63.4%","10666","63.0%","13599","57.2%","5.8pp"
"Dunland Crebain","B","C","35837","3.54","12837","4.24","73725","60.1%","13195","62.5%","18977","63.1%","32172","62.9%","41391","58.0%","4.9pp"
"Rally at the Hornburg","R","C","48084","5.15","13516","6.25","70089","60.6%","12575","63.2%","17372","62.4%","29947","62.8%","40088","59.0%","3.8pp"
"The Torment of Gollum","B","C","53018","5.89","12158","7.47","51086","60.5%","8347","63.1%","13632","62.5%","21979","62.7%","29107","58.8%","3.9pp"
"Shadow Summoning","WB","U","15779","4.63","4369","5.34","17073","58.9%","2955","63.4%","4391","61.8%","7346","62.4%","9718","56.2%","6.2pp"
"Call of the Ring","B","R","1711","1.61","1239","1.58","6691","58.2%","1203","66.1%","1697","59.8%","2900","62.4%","3770","55.0%","7.4pp"
"Sauron, the Dark Lord","UBR","M","841","1.47","596","1.41","2981","56.7%","502","62.0%","833","62.4%","1335","62.2%","1592","51.9%","10.3pp"
"Ranger's Firebrand","R","U","10187","2.90","4071","3.31","22485","59.6%","3816","60.2%","5826","63.5%","9642","62.2%","12876","57.7%","4.5pp"
"Gollum, Patient Plotter","B","U","9432","2.65","4111","2.98","22924","59.7%","4174","63.6%","5949","61.1%","10123","62.1%","12786","57.8%","4.3pp"
"There and Back Again","R","R","1993","1.71","1219","1.67","6505","58.9%","1109","62.1%","1630","62.1%","2739","62.1%","3746","56.5%","5.6pp"
"Gothmog, Morgul Lieutenant","B","U","8971","2.58","3606","2.92","19772","59.0%","3325","61.2%","5238","62.6%","8563","62.1%","11189","56.6%","5.4pp"
"Foray of Orcs","R","U","10810","3.00","4738","3.29","25855","59.3%","4396","61.0%","6888","62.4%","11284","61.9%","14688","57.4%","4.5pp"
"Saruman's Trickery","U","U","14474","4.19","3825","5.02","16708","56.4%","2753","60.5%","5198","62.6%","7951","61.9%","8796","51.7%","10.2pp"
"Bitter Downfall","B","U","8339","2.41","4235","2.63","23878","58.7%","4028","58.3%","6469","64.0%","10497","61.8%","13456","56.3%","5.5pp"
"Book of Mazarbul","R","U","11801","3.36","3743","3.92","19836","59.6%","3476","62.2%","4681","60.8%","8157","61.4%","11661","58.4%","3.0pp"
"Frodo, Sauron's Bane","W","R","2342","2.12","946","2.21","4320","57.5%","775","65.8%","1141","58.3%","1916","61.3%","2390","54.3%","7.0pp"
"Théoden, King of Rohan","WR","U","13858","4.19","3351","4.83","13503","58.2%","2362","62.0%","3160","60.7%","5522","61.3%","7889","55.9%","5.4pp"
"Mauhúr, Uruk-hai Captain","BR","U","11999","3.62","3586","4.18","17225","59.8%","2969","63.5%","4140","59.6%","7109","61.3%","10130","58.7%","2.6pp"
"Shelob's Ambush","B","C","57028","6.43","10226","8.73","33434","59.5%","5378","59.4%","8265","62.3%","13643","61.2%","19776","58.4%","2.8pp"
"Bilbo, Retired Burglar","UR","U","14221","4.40","3667","5.13","13671","56.7%","2380","60.8%","4046","61.2%","6426","61.0%","7201","52.8%","8.2pp"
"Denethor, Ruling Steward","WB","U","12066","3.54","3786","3.98","16371","56.5%","2769","58.2%","4368","62.4%","7137","60.8%","9221","53.4%","7.4pp"
"Smite the Deathless","R","C","30284","3.17","11819","3.71","65823","58.8%","11380","59.3%","16920","61.2%","28300","60.4%","37583","57.6%","2.9pp"
"Shadowfax, Lord of Horses","WR","U","15879","4.75","3104","6.10","10337","57.8%","1633","60.6%","2387","60.3%","4020","60.4%","6229","56.0%","4.4pp"
"The Mouth of Sauron","UB","U","13045","3.86","4014","4.51","16395","56.1%","2605","56.1%","4942","62.6%","7547","60.4%","8683","52.2%","8.2pp"
"Easterling Vanguard","B","C","45334","4.47","10815","5.88","59040","59.3%","10487","60.5%","14841","59.9%","25328","60.1%","33693","58.6%","1.5pp"
"Spiteful Banditry","R","M","904","1.71","572","1.65","2707","57.0%","446","57.0%","729","62.0%","1175","60.1%","1529","54.7%","5.3pp"
"Sam's Desperate Rescue","B","C","55204","6.12","10183","8.34","36312","58.8%","5743","56.6%","9385","62.1%","15128","60.0%","21165","57.9%","2.0pp"
"Uruk-hai Berserker","B","C","46267","4.70","10374","6.25","52886","58.4%","9208","59.3%","13698","60.4%","22906","59.9%","29921","57.3%","2.6pp"
"Relentless Rohirrim","R","C","54827","6.10","9639","8.30","35161","59.2%","5744","59.5%","8746","60.1%","14490","59.9%","20697","58.7%","1.1pp"
"March from the Black Gate","B","U","9479","2.70","3643","3.07","19687","58.3%","3599","64.5%","4996","56.5%","8595","59.9%","11053","57.2%","2.7pp"
"Mordor Muster","B","C","44533","4.44","11687","5.79","62249","58.8%","11230","60.2%","16162","59.5%","27392","59.8%","34880","57.9%","1.9pp"
"Frodo Baggins","WG","U","12871","3.90","2750","4.71","10280","54.1%","1728","61.9%","2639","58.3%","4367","59.7%","5809","49.6%","10.1pp"
"Troll of Khazad-dûm","B","C","47229","4.81","9867","6.58","48626","58.5%","8314","58.6%","12756","60.4%","21070","59.7%","27527","57.5%","2.2pp"
"Quarrel's End","R","C","57134","6.59","10410","8.87","34948","58.7%","6075","58.3%","8964","60.6%","15039","59.6%","19931","57.9%","1.7pp"
"The Balrog, Durin's Bane","BR","R","2332","2.15","1137","2.15","5391","56.7%","800","59.9%","1392","59.5%","2192","59.6%","3202","54.7%","4.9pp"
"Boromir, Warden of the Tower","W","R","2060","1.84","990","1.88","4919","57.0%","886","59.0%","1248","60.0%","2134","59.6%","2748","54.7%","4.9pp"
"Old Man Willow","BG","U","12512","3.74","3293","4.38","12334","54.6%","2040","55.8%","3238","61.8%","5278","59.5%","7017","50.8%","8.7pp"
"Scroll of Isildur","U","R","3370","2.93","1049","3.20","4329","53.8%","746","55.2%","1291","61.8%","2037","59.4%","2267","48.7%","10.7pp"
"Éomer, Marshal of Rohan","R","R","2123","1.92","1078","1.98","5715","58.8%","975","58.6%","1398","59.9%","2373","59.4%","3327","58.1%","1.3pp"
"Gandalf's Sanction","UR","U","16117","4.87","4433","5.51","17687","56.4%","2937","52.8%","6112","62.5%","9049","59.4%","8866","53.5%","5.9pp"
"Haunt of the Dead Marshes","B","C","52374","5.59","9639","7.68","38143","58.1%","6732","59.1%","9791","59.5%","16523","59.3%","21569","57.2%","2.1pp"
"Aragorn, the Uniter","WURG","M","1345","2.36","409","2.40","1180","50.3%","207","63.8%","309","56.3%","516","59.3%","658","44.1%","15.2pp"
"Pippin, Guard of the Citadel","WU","R","3182","3.02","979","3.10","2843","53.4%","481","59.7%","830","59.0%","1311","59.3%","1494","48.1%","11.1pp"
"Flowering of the White Tree","W","R","1974","1.70","1160","1.69","5787","56.6%","974","59.9%","1441","58.8%","2415","59.3%","3370","54.7%","4.6pp"
"Improvised Club","R","C","51142","5.51","10740","7.27","47560","58.5%","7659","56.2%","11960","61.1%","19619","59.2%","27951","58.1%","1.1pp"
"Bill the Pony","W","U","12271","3.51","3496","4.20","15573","55.5%","2607","57.3%","4094","60.4%","6701","59.2%","8784","52.5%","6.6pp"
