"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Orcish Bowmasters","B","R","1016","1.52","793","1.50","4330","62.3%","762","73.5%","1100","70.0%","1862","71.4%","2454","55.3%","16.2pp"
"Andúril, Flame of the West","","M","365","1.07","358","1.07","2157","60.9%","372","69.6%","582","70.6%","954","70.2%","1196","53.4%","16.8pp"
"Horn of Gondor","","R","926","1.33","730","1.29","4183","61.3%","786","71.2%","1029","68.4%","1815","69.6%","2366","54.9%","14.7pp"
"Witch-king of Angmar","B","M","426","1.23","366","1.22","2119","60.1%","351","70.1%","570","65.4%","921","67.2%","1179","53.5%","13.7pp"
"Faramir, Prince of Ithilien","WU","R","1321","2.26","697","2.05","3110","56.7%","533","67.4%","928","64.4%","1461","65.5%","1623","48.0%","17.5pp"
"Fear, Fire, Foes!","R","U","6153","2.87","2815","3.16","15289","60.5%","2622","63.4%","4032","65.6%","6654","64.7%","8681","57.2%","7.6pp"
"Nazgûl","B","U","5158","2.53","2278","2.80","12053","60.1%","2147","64.6%","3254","64.6%","5401","64.6%","6661","56.5%","8.1pp"
"Éowyn, Fearless Knight","WR","R","1457","2.29","713","2.30","3133","58.8%","503","63.6%","726","65.3%","1229","64.6%","1877","54.6%","10.0pp"
"Arwen, Mortal Queen","WG","M","564","1.67","307","1.52","1272","55.8%","243","65.8%","299","63.5%","542","64.6%","711","48.2%","16.3pp"
"Radagast the Brown","G","M","590","1.58","307","1.57","1189","57.3%","218","63.3%","330","65.2%","548","64.4%","642","51.2%","13.2pp"
"Éomer of the Riddermark","R","U","6595","3.12","2098","3.65","10718","60.6%","1741","62.6%","2599","65.5%","4340","64.3%","6366","58.0%","6.3pp"
"Voracious Fell Beast","B","U","6001","2.88","2371","3.23","12609","61.0%","1966","60.6%","3334","66.5%","5300","64.3%","7262","58.6%","5.7pp"
"Rangers of Ithilien","U","R","1230","1.87","676","1.79","3267","56.9%","536","61.8%","971","64.9%","1507","63.8%","1744","51.2%","12.6pp"
"Grishnákh, Brash Instigator","R","U","6496","3.06","2487","3.38","13150","60.1%","2264","64.2%","3190","63.4%","5454","63.7%","7644","57.4%","6.4pp"
"Gollum's Bite","B","U","5852","2.77","2525","3.11","13603","60.2%","2384","62.0%","3617","64.2%","6001","63.3%","7604","57.7%","5.6pp"
"Claim the Precious","B","C","15265","2.68","6648","3.04","36535","59.7%","6134","61.2%","9837","64.3%","15971","63.1%","20645","57.2%","5.9pp"
