"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Isildur's Fateful Strike","B","R","5927","2.32","2106","2.46","9546","54.0%","1541","51.5%","2563","55.1%","4104","53.7%","5451","54.2%","-0.4pp"
"Lash of the Balrog","B","C","88435","4.01","21830","5.25","114187","56.9%","18446","54.5%","30743","59.8%","49189","57.8%","65074","56.3%","1.5pp"
"Lobelia Sackville-Baggins","B","R","5565","2.13","2213","2.30","11125","54.1%","1905","53.1%","2917","56.2%","4822","55.0%","6263","53.4%","1.6pp"
"March from the Black Gate","B","U","19757","2.61","7755","2.96","42867","57.6%","7776","63.1%","11024","56.0%","18800","58.9%","23978","56.5%","2.5pp"
"Mirkwood Bats","B","C","99640","4.68","16851","6.57","69898","54.8%","11543","52.3%","18017","55.7%","29560","54.4%","40307","54.9%","-0.5pp"
"Mordor Muster","B","C","94088","4.23","25581","5.48","140859","58.1%","25449","59.4%","37174","59.0%","62623","59.2%","78304","57.1%","2.1pp"
"Mordor Trebuchet","B","C","108512","5.27","16369","7.60","56913","54.3%","9792","52.7%","14235","54.4%","24027","53.7%","32857","54.8%","-1.1pp"
"Morgul-Knife Wound","B","C","121965","6.25","15366","9.25","35557","55.5%","6100","53.7%","9156","57.2%","15256","55.8%","20249","55.4%","0.4pp"
"Nasty End","B","C","120406","5.91","20186","8.39","70408","55.7%","11482","52.4%","18382","56.4%","29864","54.9%","40525","56.4%","-1.5pp"
"Nazgûl","B","U","16650","2.27","8902","2.42","51101","59.7%","9128","63.7%","14005","63.8%","23133","63.8%","27957","56.3%","7.5pp"
"Oath of the Grey Host","B","U","28051","3.58","8056","4.38","37964","56.5%","6372","56.0%","9960","58.2%","16332","57.3%","21605","55.9%","1.4pp"
"One Ring to Rule Them All","B","R","5535","2.16","2165","2.24","9659","54.4%","1598","52.6%","2565","57.6%","4163","55.7%","5469","53.3%","2.3pp"
"Orcish Bowmasters","B","R","3520","1.42","2887","1.40","17065","62.5%","3116","73.7%","4487","70.3%","7603","71.7%","9374","54.9%","16.8pp"
"Orcish Medicine","B","C","123195","6.24","16935","9.22","41529","55.9%","6765","53.7%","10577","57.9%","17342","56.3%","24183","55.6%","0.6pp"
"Sam's Desperate Rescue","B","C","119533","5.88","23355","7.95","93120","58.2%","14874","56.1%","24690","61.2%","39564","59.3%","53517","57.4%","1.9pp"
"Sauron, the Necromancer","B","R","3601","1.48","2476","1.46","13418","56.0%","2204","57.0%","3631","59.5%","5835","58.6%","7600","53.9%","4.7pp"
"Shadow of the Enemy","B","M","4132","3.34","778","4.17","1950","51.4%","299","42.8%","544","53.7%","843","49.8%","1104","52.3%","-2.4pp"
"Shelob's Ambush","B","C","124322","6.32","23209","8.57","82568","59.1%","13109","59.3%","21115","61.8%","34224","60.8%","48318","57.9%","2.9pp"
"Snarling Warg","B","C","126849","6.54","17239","9.59","36201","55.9%","5852","55.3%","9273","55.8%","15125","55.6%","21092","56.0%","-0.4pp"
"The Torment of Gollum","B","C","110716","5.41","28220","6.74","134372","59.6%","22123","61.3%","36745","62.1%","58868","61.8%","75554","57.9%","3.9pp"
"Troll of Khazad-dûm","B","C","100728","4.59","22036","6.24","115070","57.8%","19889","57.3%","30559","59.9%","50448","58.8%","64606","57.0%","1.9pp"
"Uruk-hai Berserker","B","C","97246","4.41","23448","5.79","126359","58.1%","22110","58.6%","33239","60.1%","55349","59.5%","70914","57.1%","2.5pp"
"Voracious Fell Beast","B","U","20068","2.65","9278","2.91","52528","59.5%","8242","59.4%","14147","65.0%","22389","63.0%","30013","56.9%","6.1pp"
"Witch-king of Angmar","B","M","1582","1.20","1375","1.19","8174","60.0%","1439","69.1%","2307","66.1%","3746","67.2%","4395","53.3%","14.0pp"
"Battle-Scarred Goblin","R","C","118474","5.82","20825","8.06","88211","57.9%","15737","58.8%","21031","56.7%","36768","57.6%","51449","58.1%","-0.5pp"
"Book of Mazarbul","R","U","24972","3.22","8297","3.76","45045","59.2%","7959","61.5%","10874","60.5%","18833","60.9%","26191","57.9%","2.9pp"
"Breaking of the Fellowship","R","C","116391","5.77","17353","8.28","54883","55.8%","8857","54.9%","14491","58.5%","23348","57.1%","31514","54.7%","2.4pp"
"Cast into the Fire","R","C","134985","7.79","16940","11.24","12395","53.3%","2052","50.8%","3213","56.0%","5265","54.0%","7115","52.7%","1.2pp"
"Display of Power","R","R","14782","5.35","2004","8.13","1547","48.9%","219","37.0%","420","50.7%","639","46.0%","905","50.8%","-4.8pp"
"Éomer, Marshal of Rohan","R","R","4813","1.94","2381","1.98","12636","57.6%","2108","57.4%","3143","59.5%","5251","58.7%","7370","56.6%","2.1pp"
"Éomer of the Riddermark","R","U","21750","2.85","8778","3.15","49739","60.4%","8203","64.3%","12601","65.4%","20804","65.0%","28882","56.9%","8.1pp"
"Erebor Flamesmith","R","C","114780","5.85","21664","7.87","86039","56.0%","15281","55.6%","23241","56.9%","38522","56.4%","47286","55.6%","0.8pp"
"Erkenbrand, Lord of Westfold","R","U","29165","3.80","7206","4.59","32623","56.9%","5345","56.9%","7901","56.9%","13246","56.9%","19309","56.7%","0.2pp"
"Fall of Cair Andros","R","R","8086","3.17","1883","3.69","6255","53.5%","1050","50.4%","1706","54.9%","2756","53.2%","3472","53.7%","-0.5pp"
"Fear, Fire, Foes!","R","U","19237","2.54","10302","2.71","60049","59.8%","10369","62.6%","16128","65.3%","26497","64.2%","33761","56.4%","7.8pp"
"Fiery Inscription","R","U","31538","4.36","7655","5.15","32758","56.3%","5705","55.9%","9489","59.2%","15194","58.0%","17306","54.7%","3.3pp"
"Fire of Orthanc","R","C","138249","8.65","16355","12.32","4369","52.6%","651","48.8%","1042","52.3%","1693","51.0%","2679","53.5%","-2.5pp"
"Foray of Orcs","R","U","22063","2.87","10044","3.17","56303","58.9%","9620","60.8%","15109","61.7%","24729","61.4%","31846","57.0%","4.4pp"
"Gimli, Counter of Kills","R","U","32536","4.19","5398","5.76","20629","55.2%","3332","54.1%","5052","56.6%","8384","55.6%","12251","54.8%","0.8pp"
"Gimli's Axe","R","C","136391","8.20","15977","11.85","8390","54.1%","1287","50.0%","1992","53.4%","3279","52.1%","5114","55.4%","-3.3pp"
"Gimli's Fury","R","C","134855","7.81","17602","11.20","18972","55.9%","2785","53.3%","4436","55.6%","7221","54.7%","11742","56.5%","-1.8pp"
"Glóin, Dwarf Emissary","R","R","7100","2.70","2318","3.01","10872","56.4%","1866","55.7%","2722","57.3%","4588","56.7%","6280","56.1%","0.6pp"
"Goblin Fireleaper","R","U","33346","4.15","8034","5.41","40177","57.6%","7162","57.3%","9710","57.7%","16872","57.6%","23320","57.6%","-0.1pp"
"Grishnákh, Brash Instigator","R","U","22198","2.87","9319","3.17","51948","59.7%","9073","62.1%","13011","62.8%","22084","62.5%","29716","57.6%","4.9pp"
"Haradrim Spearmaster","R","C","117500","5.79","19695","8.09","79259","57.5%","13671","57.3%","18899","57.5%","32570","57.4%","46681","57.6%","-0.2pp"
"Hew the Entwood","R","M","6654","4.99","944","7.50","97","","12","","19","","31","","66","",""
"Improvised Club","R","C","108812","5.24","23989","6.91","114902","58.1%","18412","55.4%","29732","60.9%","48144","58.8%","66768","57.6%","1.2pp"
"Moria Marauder","R","R","6213","2.48","2629","2.57","13284","57.6%","2342","61.1%","3354","56.0%","5696","58.1%","7611","57.3%","0.8pp"
"Oliphaunt","R","C","115664","5.50","20525","7.77","88832","56.9%","15283","55.8%","22346","58.0%","37629","57.1%","51145","56.8%","0.4pp"
"Olog-hai Crusher","R","C","130100","7.07","17725","10.23","29709","56.1%","4684","55.0%","7193","55.6%","11877","55.3%","17860","56.6%","-1.3pp"
"Quarrel's End","R","C","123900","6.35","24270","8.45","91889","58.5%","15989","58.3%","24060","60.8%","40049","59.8%","51873","57.5%","2.3pp"
"Rally at the Hornburg","R","C","99398","4.73","30492","5.69","166610","59.9%","29890","62.5%","42229","62.2%","72119","62.4%","94333","58.0%","4.3pp"
"Ranger's Firebrand","R","U","21256","2.76","9031","3.12","51700","59.3%","8961","59.9%","13652","62.8%","22613","61.7%","29147","57.4%","4.2pp"
"Relentless Rohirrim","R","C","116880","5.78","22958","7.71","95872","58.6%","15630","58.3%","24514","59.4%","40144","59.0%","55772","58.3%","0.7pp"
"Rising of the Day","R","U","46485","6.95","4781","10.81","1970","50.7%","326","48.5%","431","46.9%","757","47.6%","1208","52.6%","-5.1pp"
"Rohirrim Lancer","R","C","115689","5.73","22006","7.72","96162","57.7%","16896","59.5%","23641","56.3%","40537","57.6%","55598","57.7%","-0.1pp"
"Rush the Room","R","C","137673","8.42","17018","12.00","7556","54.1%","1110","54.1%","1790","53.1%","2900","53.4%","4655","54.4%","-1.0pp"
"Smite the Deathless","R","C","62707","3.01","25326","3.52","144316","58.3%","24963","58.8%","38135","60.8%","63098","60.0%","81397","56.9%","3.2pp"
"Spiteful Banditry","R","M","1986","1.72","1307","1.67","6559","57.0%","1115","58.6%","1756","62.1%","2871","60.7%","3673","54.2%","6.6pp"
"Swarming of Moria","R","C","113014","5.43","21559","7.43","91110","56.2%","15887","56.0%","23557","57.2%","39444","56.8%","51597","55.7%","1.1pp"
"There and Back Again","R","R","4332","1.74","2706","1.70","14650","57.4%","2510","60.4%","3803","60.3%","6313","60.4%","8294","55.2%","5.2pp"
