"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Orcish Bowmasters","B","R","1366","1.49","1073","1.47","5877","62.1%","1024","73.3%","1482","69.4%","2506","71.0%","3349","55.3%","15.7pp"
"Andúril, Flame of the West","","M","496","1.06","488","1.06","3006","60.6%","522","69.7%","820","69.6%","1342","69.7%","1656","53.2%","16.5pp"
"Horn of Gondor","","R","1262","1.33","1002","1.30","5798","61.1%","1083","69.7%","1451","68.8%","2534","69.2%","3264","55.0%","14.2pp"
"Witch-king of Angmar","B","M","554","1.21","466","1.20","2764","60.7%","474","71.3%","752","65.3%","1226","67.6%","1514","54.0%","13.7pp"
"Arwen, Mortal Queen","WG","M","744","1.66","404","1.52","1756","57.2%","333","68.2%","422","65.4%","755","66.6%","977","49.1%","17.5pp"
"Faramir, Prince of Ithilien","WU","R","1778","2.24","965","2.05","4472","56.7%","753","67.6%","1310","64.8%","2063","65.8%","2366","48.4%","17.5pp"
"Nazgûl","B","U","6836","2.49","3143","2.74","17209","60.2%","3058","64.8%","4675","64.6%","7733","64.7%","9490","56.7%","8.0pp"
"Radagast the Brown","G","M","791","1.63","410","1.61","1685","57.0%","290","65.5%","459","63.6%","749","64.4%","933","50.9%","13.4pp"
"Fear, Fire, Foes!","R","U","8003","2.80","3809","3.06","21212","60.5%","3688","63.2%","5589","65.1%","9277","64.3%","12001","57.6%","6.8pp"
"Éowyn, Fearless Knight","WR","R","1972","2.29","969","2.27","4381","58.8%","731","64.6%","1015","64.1%","1746","64.3%","2601","54.8%","9.5pp"
"Éomer of the Riddermark","R","U","8805","3.06","2934","3.52","15412","60.2%","2530","62.8%","3701","65.2%","6231","64.2%","9161","57.3%","6.9pp"
"Voracious Fell Beast","B","U","7945","2.83","3331","3.14","18184","60.5%","2888","59.8%","4794","66.5%","7682","64.0%","10440","58.0%","6.0pp"
"Grishnákh, Brash Instigator","R","U","8644","3.05","3409","3.36","18347","60.2%","3156","63.4%","4516","63.6%","7672","63.5%","10610","57.6%","5.9pp"
"Palantír of Orthanc","","M","642","1.44","405","1.39","2196","57.7%","382","71.7%","618","58.4%","1000","63.5%","1192","52.9%","10.6pp"
"Rangers of Ithilien","U","R","1675","1.88","942","1.81","4499","56.7%","752","61.8%","1362","64.2%","2114","63.4%","2373","50.8%","12.6pp"
"Claim the Precious","B","C","20261","2.65","8992","3.00","50200","59.6%","8410","60.7%","13600","64.7%","22010","63.2%","28312","56.9%","6.3pp"
"Dunland Crebain","B","C","29448","3.57","10405","4.28","58812","60.2%","10557","62.5%","15066","63.4%","25623","63.1%","33055","58.0%","5.0pp"
"Shadow Summoning","WB","U","12823","4.64","3540","5.38","13820","59.4%","2371","64.3%","3554","62.1%","5925","63.0%","7883","56.7%","6.3pp"
"Gollum's Bite","B","U","7834","2.75","3448","3.10","18782","59.6%","3324","62.0%","4945","63.2%","8269","62.7%","10513","57.1%","5.6pp"
"The Torment of Gollum","B","C","43258","5.96","9626","7.60","38827","60.2%","6350","62.9%","10318","62.3%","16668","62.5%","22162","58.5%","4.0pp"
"Rally at the Hornburg","R","C","39290","5.23","10760","6.37","54713","60.5%","9796","63.2%","13497","62.0%","23293","62.5%","31371","58.9%","3.5pp"
"There and Back Again","R","R","1614","1.73","985","1.68","5175","58.7%","877","62.4%","1274","62.5%","2151","62.4%","3002","56.0%","6.4pp"
"Call of the Ring","B","R","1393","1.59","1012","1.55","5412","58.4%","950","66.8%","1365","59.3%","2315","62.4%","3079","55.4%","7.0pp"
"Gollum, Patient Plotter","B","U","7621","2.67","3271","3.00","18004","59.8%","3313","63.7%","4692","61.4%","8005","62.4%","9984","57.7%","4.6pp"
"Ranger's Firebrand","R","U","8301","2.92","3254","3.35","17832","59.5%","3045","60.2%","4628","63.7%","7673","62.3%","10181","57.5%","4.7pp"
"Foray of Orcs","R","U","8849","3.03","3793","3.32","20460","59.3%","3457","61.1%","5450","62.6%","8907","62.0%","11659","57.3%","4.7pp"
"Saruman's Trickery","U","U","11720","4.20","3076","5.03","13069","55.9%","2179","60.1%","4082","62.5%","6261","61.6%","6856","50.9%","10.7pp"
"Sauron, the Dark Lord","UBR","M","677","1.47","485","1.43","2427","56.9%","409","62.1%","683","61.3%","1092","61.6%","1298","52.6%","9.0pp"
"Gothmog, Morgul Lieutenant","B","U","7267","2.59","2864","2.93","15569","58.9%","2619","61.0%","4099","62.0%","6718","61.6%","8834","56.7%","4.9pp"
"Bitter Downfall","B","U","6820","2.41","3426","2.65","19084","58.5%","3222","57.7%","5126","63.9%","8348","61.5%","10805","56.1%","5.5pp"
"Frodo, Sauron's Bane","W","R","1901","2.10","768","2.21","3447","57.4%","618","65.7%","919","58.2%","1537","61.2%","1891","54.3%","7.0pp"
"Shelob's Ambush","B","C","46223","6.45","8129","8.78","26121","59.5%","4216","59.3%","6482","62.5%","10698","61.2%","15414","58.4%","2.8pp"
"Théoden, King of Rohan","WR","U","11209","4.21","2693","4.91","10751","58.2%","1875","61.8%","2512","60.4%","4387","61.0%","6296","56.1%","4.9pp"
"Book of Mazarbul","R","U","9615","3.38","2973","3.91","15494","59.3%","2739","61.7%","3622","60.3%","6361","60.9%","9116","58.2%","2.8pp"
"Denethor, Ruling Steward","WB","U","9841","3.54","3082","4.00","13221","56.6%","2242","58.2%","3470","62.5%","5712","60.8%","7493","53.5%","7.3pp"
"Mauhúr, Uruk-hai Captain","BR","U","9716","3.65","2891","4.22","13671","59.3%","2367","63.5%","3278","58.9%","5645","60.8%","8038","58.3%","2.5pp"
"Aragorn, the Uniter","WURG","M","1115","2.30","345","2.40","931","50.9%","163","","237","57.8%","400","60.8%","525","44.0%","16.8pp"
"Bilbo, Retired Burglar","UR","U","11530","4.43","2959","5.14","10861","56.4%","1924","60.5%","3200","60.8%","5124","60.7%","5708","52.5%","8.2pp"
"The Mouth of Sauron","UB","U","10550","3.87","3283","4.55","13281","55.9%","2104","56.2%","3974","62.8%","6078","60.5%","7071","51.8%","8.7pp"
"Smite the Deathless","R","C","24808","3.21","9582","3.75","52822","58.7%","9152","59.2%","13499","61.0%","22651","60.3%","30201","57.5%","2.7pp"
"War of the Last Alliance","W","R","2466","2.70","672","2.90","2463","55.8%","394","59.1%","623","60.8%","1017","60.2%","1442","52.8%","7.4pp"
"Boromir, Warden of the Tower","W","R","1682","1.83","809","1.87","3949","57.4%","707","60.1%","1012","60.2%","1719","60.2%","2195","55.0%","5.1pp"
"Shadowfax, Lord of Horses","WR","U","12745","4.73","2434","6.09","8080","57.8%","1299","60.6%","1830","59.8%","3129","60.1%","4883","56.2%","4.0pp"
"Spiteful Banditry","R","M","738","1.68","464","1.65","2172","56.6%","351","57.0%","576","62.0%","927","60.1%","1244","54.0%","6.1pp"
"Sam's Desperate Rescue","B","C","44739","6.16","8032","8.43","27604","58.7%","4363","56.2%","7156","62.3%","11519","60.0%","16071","57.8%","2.1pp"
"March from the Black Gate","B","U","7750","2.72","2954","3.09","15790","58.4%","2892","64.8%","4000","56.3%","6892","59.9%","8869","57.2%","2.7pp"
"Easterling Vanguard","B","C","36990","4.50","8628","5.94","46142","59.2%","8124","60.1%","11607","59.6%","19731","59.8%","26388","58.7%","1.1pp"
"Old Man Willow","BG","U","10188","3.75","2690","4.36","10068","54.6%","1653","56.1%","2623","62.1%","4276","59.8%","5762","50.8%","9.0pp"
"Mordor Muster","B","C","36251","4.49","9276","5.87","48786","58.7%","8853","60.2%","12673","59.5%","21526","59.8%","27277","57.8%","2.0pp"
"Troll of Khazad-dûm","B","C","38411","4.83","7871","6.64","37888","58.4%","6491","58.4%","9912","60.7%","16403","59.8%","21465","57.4%","2.3pp"
"Gandalf's Sanction","UR","U","13122","4.88","3595","5.49","14342","56.4%","2356","52.5%","5034","63.1%","7390","59.7%","7155","53.3%","6.4pp"
"Uruk-hai Berserker","B","C","37692","4.75","8208","6.34","40759","58.3%","7090","58.6%","10515","60.3%","17605","59.6%","23098","57.3%","2.3pp"
"Frodo Baggins","WG","U","10347","3.89","2271","4.64","8314","54.2%","1384","62.5%","2139","57.7%","3523","59.6%","4709","49.9%","9.7pp"
"Quarrel's End","R","C","46400","6.64","8312","8.96","26887","58.4%","4635","58.0%","6915","60.7%","11550","59.6%","15354","57.5%","2.1pp"
"Relentless Rohirrim","R","C","44442","6.16","7617","8.41","26530","59.1%","4322","59.3%","6545","59.8%","10867","59.6%","15682","58.7%","0.9pp"
"Sauron, the Necromancer","B","R","1298","1.46","896","1.41","4610","56.7%","709","56.7%","1238","61.0%","1947","59.4%","2667","54.6%","4.8pp"
"Éomer, Marshal of Rohan","R","R","1711","1.93","882","1.97","4658","59.1%","807","58.4%","1135","60.0%","1942","59.3%","2704","58.7%","0.6pp"
"Bill the Pony","W","U","9911","3.53","2833","4.20","12401","55.4%","2070","57.4%","3284","60.5%","5354","59.3%","6980","52.1%","7.2pp"
