"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Relentless Rohirrim","R","C","110527","5.81","21482","7.76","89025","58.6%","14520","58.3%","22701","59.5%","37221","59.1%","51853","58.2%","0.9pp"
"Rising of the Day","R","U","43856","6.95","4524","10.82","1885","50.5%","311","47.3%","410","47.1%","721","47.2%","1160","52.6%","-5.4pp"
"Rohirrim Lancer","R","C","109526","5.76","20628","7.76","89485","57.6%","15666","59.3%","21955","56.2%","37621","57.5%","51845","57.7%","-0.3pp"
"Rush the Room","R","C","129760","8.42","16003","12.01","7083","53.8%","1047","54.0%","1677","53.1%","2724","53.4%","4358","54.0%","-0.6pp"
"Smite the Deathless","R","C","59439","3.02","23933","3.53","136371","58.3%","23585","58.8%","35972","60.8%","59557","60.0%","76983","56.9%","3.1pp"
"Spiteful Banditry","R","M","1869","1.71","1223","1.66","6148","56.8%","1046","59.1%","1641","62.0%","2687","60.8%","3447","53.8%","7.1pp"
"Swarming of Moria","R","C","106730","5.45","20313","7.45","85452","56.1%","14943","56.1%","22071","57.0%","37014","56.7%","48374","55.6%","1.0pp"
"There and Back Again","R","R","4082","1.73","2536","1.70","13768","57.3%","2356","60.0%","3555","60.5%","5911","60.3%","7820","55.1%","5.2pp"
"Warbeast of Gorgoroth","R","C","116267","6.22","17819","8.82","54900","57.8%","8549","57.2%","13655","59.7%","22204","58.7%","32724","57.1%","1.7pp"
"Bag End Porter","G","C","118357","6.79","11995","9.97","25383","53.0%","4109","53.5%","6376","56.6%","10485","55.4%","14822","51.2%","4.2pp"
"Bombadil's Song","G","C","122582","7.34","12278","10.79","21282","49.7%","3462","46.6%","5331","52.4%","8793","50.1%","12431","49.4%","0.8pp"
"Brandywine Farmer","G","C","124609","7.81","12177","11.47","14617","49.3%","2481","45.1%","3457","48.8%","5938","47.3%","8617","50.6%","-3.4pp"
"Celeborn the Wise","G","U","28699","4.03","3792","5.44","13767","50.6%","2214","52.3%","3643","53.5%","5857","53.0%","7840","48.6%","4.5pp"
"Chance-Met Elves","G","C","108495","6.23","10794","9.03","29172","49.3%","5067","50.5%","7533","50.9%","12600","50.7%","16362","48.2%","2.6pp"
"Delighted Halfling","G","R","5276","2.12","1841","2.18","7924","53.3%","1395","64.0%","1978","53.6%","3373","57.9%","4523","49.8%","8.2pp"
"Dúnedain Rangers","G","U","30540","4.25","4718","5.63","18265","52.5%","3112","53.0%","4645","55.0%","7757","54.2%","10439","51.0%","3.2pp"
"Elven Chorus","G","R","5946","2.62","1453","2.90","5485","49.6%","908","47.2%","1439","50.5%","2347","49.2%","3122","50.0%","-0.8pp"
"Elven Farsight","G","C","119074","7.17","10942","10.72","17579","49.6%","3134","46.6%","4495","52.7%","7629","50.2%","9829","49.1%","1.1pp"
"Enraged Huorn","G","C","116898","6.60","13089","9.62","37187","53.2%","5861","53.8%","9561","56.4%","15422","55.4%","21597","51.5%","4.0pp"
"Entish Restoration","G","U","37008","5.34","4194","7.76","8484","47.9%","1467","42.4%","2039","47.2%","3506","45.2%","4967","49.9%","-4.7pp"
"Ent's Fury","G","C","101420","5.38","13987","7.37","55934","53.0%","8795","50.9%","14586","57.8%","23381","55.2%","32374","51.4%","3.8pp"
